CAMPUS,C000A002G16R,C200A002G16R,C2408FR16R,C300A002G16R,C3408FR16R,C400A002G16R,C4408FR16R,CA00A002G16R,CA408FR16R,CB00A002G16R,CB408FR16R,CE00A002G16R,CE408FR16R,CF00A002G16R,CF408FR16R,CH00A002G16R,CH408FR16R,CI00A002G16R,CI408FR16R,CL408FR16R,CM00A002G16R,CM408FR16R,CR00A002G16R,CR408FR16R,CS00A002G16R,CS408FR16R,CW00A002G16R,CW408FR16R
1902001,-1,-1,.,-1,.,.,.,65,.,-1,.,-1,.,60,.,-1,.,.,.,.,69,.,-1,.,-1,.,69,.
1902041,.,-1,.,.,.,.,.,56,47,-1,.,54,45,54,83,-1,-1,.,.,.,-1,-1,57,44,-1,-1,53,50
1902103,-1,-1,-1,.,.,.,.,74,42,-1,-1,61,-1,74,-1,56,-1,.,.,.,74,-1,70,42,-1,-1,73,-1
1903001,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,55,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
1903041,-1,-1,-1,-1,.,-1,.,58,31,-1,-1,55,26,62,39,-1,-1,.,.,.,54,25,57,30,-1,-1,57,29
1903101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1903102,-1,-1,.,-1,.,.,.,74,61,-1,-1,74,65,78,-1,76,56,.,.,-1,71,71,80,61,85,-1,73,70
1904001,-1,.,.,-1,.,.,.,56,.,-1,.,48,.,63,.,-1,.,-1,.,.,50,.,-1,.,-1,.,64,.
1904041,-1,-1,.,.,.,.,.,65,40,-1,.,61,37,64,-1,-1,-1,-1,-1,-1,65,45,63,39,-1,-1,65,38
1904102,-1,-1,-1,.,.,.,.,75,46,68,70,74,44,68,-1,73,-1,.,.,-1,83,53,77,46,67,-1,77,-1
1906002,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,41,.,-1,.,.,.,.,-1,.,-1,.,-1,.,-1,.
1906040,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1906102,-1,.,.,.,.,.,.,71,45,80,-1,66,-1,74,-1,65,-1,.,.,.,67,70,81,48,73,45,71,57
1907001,-1,-1,.,-1,.,.,.,45,.,-1,.,43,.,45,.,49,.,-1,.,.,45,.,36,.,-1,.,-1,.
1907041,57,-1,-1,-1,.,.,.,60,31,54,26,56,29,64,38,61,32,.,.,-1,57,28,57,31,-1,-1,65,39
1907101,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1907102,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1907107,60,.,.,.,.,.,.,60,.,-1,.,65,.,49,.,59,.,.,.,.,72,.,60,.,-1,.,.,.
1907110,55,55,-1,-1,.,.,.,58,24,59,21,57,23,57,21,58,26,-1,.,29,59,27,58,22,60,16,58,31
